BS_B,BS_G,BS_R,AE_BG,AE_BR,AE_GR,BBS_B,BBS_G,BBS_R,BSF_B,BSF_G,BSF_R,SSA_B,SSA_G,SSA_R,BA_B,BA_G,BA_R
-0.007720678122471215,-5.615422129429606e-05,-0.0018535633790244988,0.001036346180483921,-0.0008520789500087501,0.0018857549858224266,0.006025060301099705,0.002817505544599132,0.0029701388249228798,0.0008300563461776916,0.008948180754441924,-0.001983431375846194,0.02793548692611605,0.005958662765053971,-0.009705148343447288,0.01597981578083663,0.0023741509644731183,-0.011634996508351397
-0.02793463803168321,-0.007696095750239002,-0.0014186915881831128,0.001532963098255832,0.0012970123093460093,-0.0006576295514011289,-0.02730196725421175,-0.00911779941084079,0.000553989675148086,-0.004560633752987788,-0.008306890066601093,-0.0020436916561756982,0.01586395699896011,-0.0020515211959082616,-0.00538660880661754,-0.00601346925391861,-0.021286923214536103,-0.01585652999172582
0.059624482702838544,0.017771795286182942,0.013188137487546006,-0.005218828591722681,0.0035254197518553364,0.005282309751659204,0.009714832463465908,0.007292031614429472,0.003691891456977607,0.011207306432837157,0.0077214041318748195,0.00940552975303586,0.016134237598751756,0.005440262470507563,0.017787569321332214,0.0008962610676019565,0.006745458638701004,0.03769211361497457
-0.014662794192822487,-0.0056173961675459495,-0.004435001091501174,0.007073928196528555,0.001158527538779149,-0.00019606342319161994,0.005144396017325965,0.0005594287272557658,-0.002155085761014545,-0.008403217857368283,-0.0005741752928974053,-0.009516523659289169,-0.002549921959278776,0.0023877978342082174,-0.006695458483364586,0.0,-0.000951844436262152,-0.0069244528392385304
-0.02016613069796487,-0.007664316548240046,-0.0028124621185376883,-0.0017777097017154728,-0.0009915471652153956,-0.0015080729515022178,0.0021062114810395964,-0.0017450732088352535,0.00016999253985587294,-0.008559417411710988,-0.015611327796421855,-0.006205136750878478,0.03240154171560718,-0.001095803932524869,-0.013350103104487039,0.004843572319426654,-0.0056662910564163034,-0.01328045265251488
-0.02538910798540859,-0.008354895754838386,-0.005075174704357152,0.0004907961945485236,-0.00046468019787742254,-0.0011605308890634608,-0.006122109281526854,-0.0044084732122948,-0.0012751048232437362,-0.0026862688296849673,-0.0076196179493443605,0.005600120396880863,0.020110491477876646,0.0,-0.00851189210782991,-0.00044754134348331864,-0.01214268027216096,-0.002644920157268013
-0.003283753568631202,-0.0015274427288870388,-0.0016236897908041997,0.01342722421077941,0.007140578900979635,0.0017154854752771506,0.004080255586258438,0.002775579329043939,0.0022297619603296663,0.0019563479815942857,0.0,0.007182911919625168,-0.06099083705827388,0.0010461627886321303,-0.0021536207887227193,-0.0010106838217750597,0.00010728115234385305,-0.005698491064598025
0.02799862052895784,0.010370758107188021,0.009116900442805982,-0.0034821017854281848,0.009269432882009153,0.008356561493379249,0.005793498417305114,0.005121890085264401,0.0045070455554373,0.01769185828899106,-0.004920703016506909,0.0021937092132248187,-0.10469191899289297,-0.0037491847700076744,0.01743845920738989,-0.01307631330652081,0.004490574839790775,0.019781628143592616
-0.010152171383648066,-0.0048633615401264116,-0.0034823124655061015,0.00672733327554194,0.0012088698738678978,-0.00046416358458357916,0.00375741634484733,0.002049374798323058,0.0018559277775298184,0.0,-0.0057818154490354625,0.007692812110563407,-0.021167486818363702,-0.0002578134067170503,0.00047053983897599443,-0.004254811144062847,0.0,-0.002414928702227967
0.06438183668373362,0.01803428780999193,0.01862886772615647,0.007345308087259527,-0.003180050288269391,0.0,0.008067462826711341,0.010507645209440768,0.00817350943276472,0.008670443978451872,0.008255621520975533,0.0018078466899415656,0.036120395977716456,-0.000584834848025374,0.004255707430311425,-0.006378410599284633,0.01006474475216172,0.0441357409109108
