,0
BS_B,0.023672468710138377
SSA_B,0.023478237903074534
BA_R,0.013119882190422937
SSA_R,0.012428004689792027
BBS_B,0.009110599615061452
BA_B,0.00882762605481319
BS_G,0.007495633989376726
BBS_G,0.005897377249773745
BS_R,0.005715574774021357
BSF_G,0.0055748680017832395
BSF_B,0.0054899808177537625
BA_G,0.005016194647877965
AE_BG,0.004590228168709789
SSA_G,0.004378276891210859
BBS_R,0.0042200488265795415
BSF_R,0.0037722549624195447
AE_BR,0.0033701242852884486
AE_GR,0.0029651115310825793
