,0
AE_BR,0.010377217849496948
SSA_B,0.009917536515793052
SSA_R,0.009287518383565447
AE_BG,0.008101654669408574
SSA_G,0.007922770964489269
BA_B,0.0076375932595072514
AE_GR,0.006878185727399135
BBS_B,0.006214825280612785
BS_B,0.004711283347370537
BSF_R,0.004429550246995503
BA_R,0.0037749419175889427
BA_G,0.003717201694069311
BSF_B,0.0036231411718414095
BS_R,0.003425834570644822
BS_G,0.002992315664044374
BBS_G,0.0029826000464471575
BBS_R,0.002933551121785512
BSF_G,0.0027660298779295087
