BS_B,BS_G,BS_R,AE_BG,AE_BR,AE_GR,BBS_B,BBS_G,BBS_R,BSF_B,BSF_G,BSF_R,SSA_B,SSA_G,SSA_R,BA_B,BA_G,BA_R
0.03828711072654303,0.0034378396939060314,-0.006515022154663717,0.028672979336646216,0.010571029701636982,0.010523311547017328,0.0024132803739799883,0.004441379868227476,0.0033875653961401245,0.0022339490673082734,-0.010874685054666343,-0.006662535528065093,0.008959754636942674,0.0004157335739011816,-0.0064337772012392595,-0.016408303208927038,0.004868836213230673,-0.0027401066947816133
0.05195762401146322,0.005109131765379991,0.0019371325946760654,0.003847825838825947,-0.001304145806550261,-0.002500744755530683,0.004697657564511339,0.0025324215767565774,0.00103789028346843,0.005640336770122193,-0.0014755478553804284,-0.006572679009600672,0.04164926513274589,0.006223495201508298,0.001144547782665458,-0.001087755660652126,-0.0007227498758453191,-0.003784723940633436
-0.07421512264960603,-0.013805474327684345,-0.0035366644223370483,0.04004372820906629,0.020748798536247805,0.007432899842126549,-0.0013789457934178851,-0.007649562742115438,0.0017550536832632209,-0.005853720105979934,0.009216963988066712,0.00548437480083179,0.00044988131248414393,0.003648767087339665,0.0003902734451259707,0.001154592238266024,-0.002278141835206205,-0.00608058051608289
0.07718876295531081,0.014002932046102921,0.016040787922274386,0.02136748686111754,-0.012174086108298562,-0.01422123084942707,0.0042625315282797845,0.0036759586022621343,0.0,0.0,0.02553191191453501,-0.008344630523804793,0.04653763963956427,0.008985405878239214,5.911050485429657e-05,0.003644962703266332,0.004486430182354066,0.016625539820733254
-0.09466223073492033,-0.021854009176758882,-0.010499896940012176,-0.010077397191706326,0.015859691433487408,0.009713393540958098,-0.005832874108530437,-0.019000450567866155,-0.005570010347158683,-0.007093517292386799,0.005062160108517696,-0.010739321124963943,0.03993112523828202,0.0057879539440306264,-0.0040710065976493895,0.013746931453896334,0.006088968165234441,-0.021393400479343877
-0.04213885086700943,-0.0018981563940567345,-0.009335906354828467,0.035525892621411884,0.026333282151974557,0.011842558453496412,0.0007986671565536948,-0.006406450181577591,-0.005327354418793729,0.000773891224546276,-0.007485941055162122,-0.0024165898077176517,0.022963735029388397,0.0040169765607647,0.001769132817342249,-0.0029394280376936134,-0.008302066187016713,-0.005370261559116983
0.02705607609991652,0.0036185904576324216,-0.00047138907428034187,0.024210766221290578,-0.011235555441584971,-0.00652623828645625,0.00202892923223454,0.00285578367056327,-0.00018379486843934163,-0.0036121971221967867,0.007057017188571019,0.003429256593455778,-0.06861598010910842,-0.004628343441995284,0.0009337482770270341,-0.0017257736546698779,0.0053059437606558695,0.011739757746958485
0.06010874231384535,0.01690207767873137,0.016984463551434924,-0.01072107538749236,-0.012254750459497192,-0.014897554526885525,0.0037475937872726347,0.006421785134429007,0.002438074493473158,-0.004368835977145377,-0.013099915561553446,-0.01695633240112329,0.019460577958532888,0.005521743749906742,0.001516122563815282,-0.018021045846282648,0.003579217621725107,0.002841439949206631
0.04506760477919796,0.013056397206562799,0.010766635554622117,-0.14319483026921198,-0.09603626690109696,-0.023001972670833905,0.006548854112131295,0.003547142618307192,0.0013962551422893683,-0.006312913075766785,-0.00049547260060295,-0.01037948627856932,0.03179121626942069,0.00324147884619393,-0.00029393656619478465,0.0009590379306614004,-0.005115226142064594,-0.003570643517567612
0.04475904659039615,0.003759768941940318,0.0,0.006117954055070646,0.011863839491754168,0.007042830569038279,0.002998983142080032,0.004543445080204925,-0.002413880654588586,0.0017503880793169214,-0.0028399402436381435,0.014075836314536055,0.030353402168636877,0.0021056517311232328,0.0004391039141544219,-0.0012242639373350077,-0.003041879743659336,0.0005300850967230875
