,0
BS_B,0.04308200700599436
SSA_B,0.042209301367810946
AE_BG,0.04137971254638195
AE_BR,0.024784476292217694
AE_GR,0.01230312579103361
BSF_R,0.00951767036027731
BA_R,0.008062883690652164
BA_B,0.007303298632812793
BBS_G,0.0069340740559201515
BSF_G,0.00646599981377241
SSA_G,0.00607554475197105
BS_G,0.0057744300064601125
BA_G,0.005005620048710687
BBS_B,0.004688518887053357
BS_R,0.004150338268381435
BSF_B,0.003932742270147144
BBS_R,0.0029528945657739973
SSA_R,0.0024294220470118715
