,0
BS_B,0.019582808130451455
AE_BR,0.016268014421549935
AE_BG,0.012409795615288618
AE_GR,0.012338979005752948
SSA_B,0.012025930068371361
BS_G,0.008949616835283083
BA_B,0.007043664905257895
BBS_B,0.00579405196046305
BBS_G,0.004912331720356543
SSA_G,0.004294134200169327
SSA_R,0.003924424590012164
BA_R,0.0032739536571265836
BSF_G,0.0028675795275036123
BA_G,0.0026731679050468167
BSF_B,0.002344985427270398
BS_R,0.002285535112078359
BSF_R,0.002155126395137999
BBS_R,0.002139744808707099
