BS_B,BS_G,BS_R,AE_BG,AE_BR,AE_GR,BBS_B,BBS_G,BBS_R,BSF_B,BSF_G,BSF_R,SSA_B,SSA_G,SSA_R,BA_B,BA_G,BA_R
-0.022243237184399973,-0.0070470824994138355,0.0,0.007790201586022138,0.01564795141075025,0.012739373015438095,-0.004069449550569702,0.0003092178429273583,0.0005075892332346046,-0.0037730777227947938,-0.0010638734328631853,0.0013925425110363722,0.027866044423838474,0.005625598296913987,0.005119654496194982,0.008037798544782206,0.001339516973444683,0.0015621291667100787
0.011571362519947703,0.0017184198612635317,0.001296284905863048,0.006970541881552209,0.018626639563223434,0.01015759163546528,0.0038634873494709835,0.004129129568998413,0.0008253859786841737,-0.001183961471893874,0.0027210533637283744,0.0002223832167124438,-0.008797553880664827,-0.004346754906121864,0.0001605439821692871,-0.012187358914601916,-0.007373469085970603,-0.0017620402921706378
0.014579412462635073,0.009047094584554086,0.003129676695661823,0.0018594086966501027,0.002404838198156282,0.01042473189232147,0.004031481773994748,0.0024581530552288933,0.0008011260394055775,8.242058204694618e-06,0.0017168898054495292,-0.003165512518455798,-0.004143161120975674,-0.0006229441951909725,-0.0058004591491819385,-0.002139025461072055,-0.00048246249616480257,-0.0045770463819979415
0.021942485176848273,0.01042147143173083,0.00214143727450991,0.007943514799894942,0.008705515579790764,0.0056728192329051986,0.0023962408026390147,0.0045257255925129775,0.00042424756919914045,-0.00048812237089766974,0.003935171714362082,0.0028963528668465464,-0.008242466981166997,-0.0010238674929170216,0.003108542753664226,0.0008422861289936461,0.011421302116012385,0.010844956299120426
-0.004692454052928611,0.002294865857377422,-0.001183408809643961,-0.06487053667943454,-0.08303472176131678,-0.03894130699056682,-0.002271818878731586,-0.004497492359794054,-0.00402866007707666,0.004614384043352261,-0.0016066830688027925,0.0006239835990092502,0.0043915747066356455,0.00864236812407723,0.006987699459163641,0.003325119877119193,0.0,0.0017803144938485505
0.015381279364350216,0.008115206009826369,-0.0005639901551166805,-0.0059701422135694515,-0.025517568812688057,-0.03418021211928295,0.0023586073329243708,0.0014037889642222786,-0.003391215953096937,-0.001396042381143465,-0.0010863996383274296,-0.0021775793850391753,0.007678899782422491,0.008095858057926845,0.006300444577652773,-0.003269578852395561,0.00042572141353584874,-0.0009909912234112028
0.0029173437338854305,-0.0019413417461409507,-0.004942182056988983,-0.012708952160650705,-0.008050226268981674,0.002828361484417844,-0.0027996002221312576,-0.0027961157702399452,-0.0021332154916943904,-0.0021868253429798085,-0.0003912978722471356,-0.0061145858975746505,-0.005991042400570396,-0.003355813949013549,-0.005425131335102887,-0.013023006153309948,-0.0061366499561321414,-0.005351561292915405
0.031403160017284035,0.01300587386534306,0.010365781188677559,-0.027014039177878684,-0.026683405031613733,-0.017598754834015504,0.027306790312036852,0.02240126918392563,0.015443888573806278,0.01183948665231852,0.0021992938046324893,0.0038023737368812166,0.00916978177713405,0.007767201790596806,0.004488330471419356,0.0011699376984311714,-0.002460440868294086,-0.0034240922242865512
0.009028574363944868,-0.0005837836537728749,-0.0009338142877845341,0.005161867220142344,-0.0011652886407858172,0.005084797420161231,-0.0020879344719785687,0.00038181254969654125,0.0010529422482385327,-0.001202321136499668,0.0004197884158244232,0.0008894926286828247,-0.013670547324354883,-0.0031648190353032084,0.015098081425239796,-0.008954226911726822,0.0007780774676143269,0.003901979473999639
-0.007213004084162666,-0.007556170474283344,-0.0016042998422007649,0.008242575933545696,0.020824511856542195,0.008773721631294962,0.0025231735894365604,-0.0010667260336277838,-0.0006318347714680244,0.0016455255715076588,0.006101466702989602,0.0010728724754460444,-0.00807691675317571,-0.003563967078905459,-0.0027880316171725672,0.0008147040796490194,0.00141463599645845,-0.0001529776770018594
