,0
BS_B,15.630752905198616
AE_BR,12.984925960952696
AE_BG,9.90534389013195
AE_GR,9.84881895673822
SSA_B,9.598947204186164
BS_G,7.143472397658146
BA_B,5.622165368096636
BBS_B,4.624739920371762
BBS_G,3.920961835389857
SSA_G,3.4275242946508957
SSA_R,3.1324267006517097
BA_R,2.613228924918095
BSF_G,2.288866169337372
BA_G,2.133689240049301
BSF_B,1.8717380845374287
BS_R,1.824285585349739
BSF_R,1.72019497599484
BBS_R,1.7079175857865638
