BS_B,BS_G,BS_R,AE_BG,AE_BR,AE_GR,BBS_B,BBS_G,BBS_R,BSF_B,BSF_G,BSF_R,SSA_B,SSA_G,SSA_R,BA_B,BA_G,BA_R
29.446883029822825,1.3222215993980018,-10.0042863921408,-26.567239570955365,1.0258544958731706,-11.159165631786669,277.6617354444165,-7.69477499686406,21.28042858998294,-106.7494756834598,-39.588497241877725,7.1823661181577085,-7.487776406019987,3.2778894140412733,6.442025972696203,56.34031858268262,48.113639968579974,42.63605933404355
9.849993874729222,2.4137007482822916,-7.123933692888217,130.3268904359038,-5.889169040530339,-2.9058669212383292,313.18153889673323,25.341573390926488,9.694387441715183,72.45133550789792,37.19501123691265,9.23249011801481,9.220171454466904,-9.061993125610256,-31.34145636381376,145.09865466405955,49.79254254788796,-31.836513221890186
36.773289588194565,3.0678408237774795,-18.366163562639237,-193.18714401282944,-31.251092209927684,-54.93178588640638,278.3270602017402,24.20688171356371,4.1467275099784855,8.399330489674815,-19.09778244323957,3.4131013920767312,4.338583196013652,3.9707473144969656,16.763329070493324,140.69068590416785,43.243380149884594,-24.38839233401515
3.8013832613146987,-3.4636958523110146,5.627526711924361,31.44105876692831,-21.2361108870913,-10.635405106852259,154.9203983057204,16.14381845437313,8.52587470631936,0.0,-30.76085410129318,-0.06333939702126976,-16.819973538666893,-16.450442094812903,-9.770658524668832,69.43176196202491,24.935034217237966,-22.823869760858486
44.93175567436472,-2.901399010473929,5.336964334854185,-183.20019828613988,-23.501371500144014,-41.55780652717878,242.1069073644236,33.946847736326866,8.138841409428526,4.904130983678159,-11.256072795280476,3.993052916003426,37.29498516387566,1.0804688133114195,7.979585878458596,122.676980356419,55.9025792519693,34.71557557369135
11.063173703632131,4.322897607778454,15.763770157108956,54.71912620905344,1.8432296286541148,17.472856174761034,0.5142159537540263,-0.6446808865158267,0.0,-14.614121073054323,17.766235087588292,4.355062267058274,-56.69051868752246,27.358402560884894,3.696559688801716,-41.8475518059796,-13.573565155767724,-2.35263834191138
10.13607084555618,0.0,6.824911401651334,19.50889360687615,16.093648675540408,32.7120203559553,60.28439425392574,2.74065526590329,2.7632051178029924,45.30827801854308,18.48141205408053,1.3479596097574547,0.0,-14.8414620540756,-26.929063986994812,17.987627764475892,-11.986527653964519,-26.839665976082586
10.10147885111033,3.4968336508860585,4.090765349330273,136.87331825940637,20.902570467437346,-6.512710574384693,43.66721540669164,2.077638720585561,0.0,70.4868748889684,59.74294919146953,0.0,16.85226544221692,-7.026541265526369,-24.811384087299718,45.597736786110445,-18.806349094007853,-18.396747685011917
5.650899210411965,3.8526366707138022,11.477359556471018,85.49505564040757,15.267921215310398,13.373211932568022,15.150297513505652,4.9047447071365005,8.753380454949335,-60.59521803488432,-47.37993237118508,8.24550830789709,23.7785884545235,-19.49204297120873,-1.0732158967920558,71.15893516868518,30.155217596853742,12.098325985184772
-2.9095683745444982,9.813049609136064,-1.7479184079553183,-10.912562717321588,-7.579519612726868,-15.024954742568232,25.66964297750712,0.0,5.129759603831201,-52.87655714089248,-46.71911466391242,23.21206372297633,-16.521692884050836,25.992755241078786,22.10508387964054,-70.90869667631485,1.2545131358910948,-34.00121508717281
